,Benchmarks,Mirage,Maya
0,perlbench,0.9988852491156659,1.0101718848276275
1,gcc,0.9982448213850051,1.0000638234751458
2,bwaves,0.9976491007388142,1.0087535103930532
3,mcf,1.0241424818720608,1.0675456267137533
4,cactuBSSN,0.9947641767919803,0.9550376522648957
5,lbm,0.9019645456800763,1.143510868961029
6,omnetpp,1.0018211256953673,1.0433918085523428
7,wrf,1.0074028735286369,1.1117694925901274
8,xalancbmk,0.9944702572383064,1.016165539903238
9,x264,0.9998365344277156,1.0005886412944385
10,cam4,0.9961947130526391,0.9806328248628251
11,pop2,0.9959007796838683,1.001463499716775
12,fotonik3d,0.9983230893315231,1.0448602282395214
13,roms,1.0015990321353516,1.023444555516908
14,xz,0.9997180802460025,1.0118010924181164
15,bc,1.0303447566360453,0.9876427485474575
16,cc,1.031452548954582,0.9503568763202658
17,pr,1.7405171808236173,1.5925348872266518
18,bfs,0.9988722167547069,1.0191799000111466
19,sssp,1.0435547326624037,0.9740208154082113
20,bfs,0.9986866130644818,1.0270286598660465
21,sssp,1.0469850717588627,0.9769786087438342
22,bfs,0.9896477281346564,1.0242283969870085
23,sssp,1.0462572289614611,0.9750691724451824
